page_num,page_url,viewer_url,title,status
29,https://www.yiqifuwu.com/standard/29.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200411/1586591265476805.pdf,GB/T 16697-2017 单传感器应用电视摄像机通用技术要求及测量方法,success
30,https://www.yiqifuwu.com/standard/30.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200411/1586592624835025.pdf,GA/T 1127-2013 安全防范视频监控摄像机通用技术要求,success
31,https://www.yiqifuwu.com/standard/31.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20230704/1688424310330232.pdf,GB/T 1236-2017 工业通风机 用标准化风道性能试验,success
32,https://www.yiqifuwu.com/standard/32.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200412/1586677474861994.pdf,DL/T 1487-2015 单相智能电能表技术规范,success
33,https://www.yiqifuwu.com/standard/33.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200416/1586989870639373.pdf,GB/T 4744-2013 纺织品 防水性能的检测和评价 静水压法,success
34,https://www.yiqifuwu.com/standard/34.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200416/1586990582705197.pdf,GB/T 6529-2008 纺织品 调湿和试验用标准大气,success
35,https://www.yiqifuwu.com/standard/35.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200416/1586990891461592.pdf,GB/T 38016-2019 纺织品 干燥速率的测定,success
36,https://www.yiqifuwu.com/standard/36.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200416/1586991719424476.pdf,GB/T 6682-2008 分析实验室用水规格和试验方法,success
37,https://www.yiqifuwu.com/standard/37.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200416/1586992021932836.pdf,GB/T 9724-2007 化学试剂PH值测定通则,success
38,https://www.yiqifuwu.com/standard/38.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200416/1587029211717449.pdf,GB/T 10178-2006 工业通风机  现场性能试验,success
39,https://www.yiqifuwu.com/standard/39.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200417/1587112497639806.pdf,YY∕T 1668-2019 阵列式脉冲回波超声换能器的基本电声特性和测量方法,success
40,https://www.yiqifuwu.com/standard/40.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200420/1587373148524159.pdf,GB/T 34989-2017 连接器 安全要求和试验,success
41,https://www.yiqifuwu.com/standard/41.html,https://www.yiqifuwu.com/statics/js/pdf/web/viewer.html?file=/uploadfile/file/20200425/1587824509484451.pdf,GB/T 28037-2011信息技术 投影机通用规范,success
